,Cluster 0,Cluster 1,Cluster 2
0,Alaska,Alabama,California
1,Arizona,Arkansas,Colorado
2,Delaware,Georgia,Connecticut
3,Idaho,Kentucky,District of Columbia
4,Indiana,Louisiana,Florida
5,Iowa,Michigan,Hawaii
6,Kansas,Mississippi,Illinois
7,Maine,New Mexico,Maryland
8,Minnesota,North Carolina,Massachusetts
9,Missouri,Ohio,Nevada
10,Montana,Oklahoma,New Jersey
11,Nebraska,Pennsylvania,New York
12,New Hampshire,South Carolina,Rhode Island
13,North Dakota,Tennessee,Texas
14,Oregon,West Virginia,Virginia
15,South Dakota,,Washington
16,Utah,,
17,Vermont,,
18,Wisconsin,,
19,Wyoming,,
