Median Household Income,Per Capita Income,Gini Index of Income Inequality,Total Population,Median Age,Median Home Value,State Code (FIPS),Year,Unemployment Rate,Percent Foreigners,State Name,State Code (USPS)
62212.0,35046.0,0.4771,5108468.0,39.6,216600.0,1,2023,0.0188038762306037,0.0397659337398218,Alabama,AL
86631.0,45792.0,0.4492,733406.0,36.5,347500.0,2,2023,0.0238680894347741,0.0744076268806091,Alaska,AK
77315.0,41290.0,0.465,7431344.0,39.3,411200.0,4,2023,0.0208824944720631,0.1319985994458068,Arizona,AZ
58700.0,33012.0,0.474,3067732.0,38.9,195700.0,5,2023,0.0194638905875741,0.0529185730696162,Arkansas,AR
95521.0,48013.0,0.487,38965193.0,38.2,725800.0,6,2023,0.0285089310349367,0.273064655422084,California,CA
92911.0,51768.0,0.4575,5877610.0,37.9,550300.0,8,2023,0.0211541766126027,0.0958044171015089,Colorado,CO
91665.0,53119.0,0.4954,3617176.0,41.5,367800.0,9,2023,0.0250866974678589,0.1632787566875374,Connecticut,CT
81361.0,44350.0,0.4557,1031890.0,42.0,359700.0,10,2023,0.0175328765663006,0.1115710007849673,Delaware,DE
108210.0,78479.0,0.5163,678972.0,34.9,715500.0,11,2023,0.0314976169856783,0.14055807897822,District of Columbia,DC
73311.0,41902.0,0.4829,22610726.0,42.8,381000.0,12,2023,0.0203420712806833,0.2209957345022888,Florida,FL
74632.0,39685.0,0.4787,11029227.0,37.9,323000.0,13,2023,0.0224304930889535,0.1155531570798207,Georgia,GA
95322.0,43794.0,0.4512,1435138.0,41.4,846400.0,15,2023,0.0170185724299684,0.1782093429342683,Hawaii,HI
74942.0,37426.0,0.4404,1964726.0,37.8,428600.0,16,2023,0.0177602373053545,0.0570099851073381,Idaho,ID
80306.0,45043.0,0.481,12549689.0,39.5,263300.0,17,2023,0.0249831689056198,0.1497160606928187,Illinois,IL
69477.0,37299.0,0.4536,6862199.0,38.3,225900.0,18,2023,0.0186488325389572,0.063048594189705,Indiana,IN
71433.0,39518.0,0.4464,3207004.0,39.1,213300.0,19,2023,0.0147093673721641,0.0588103413653366,Iowa,IA
70333.0,38361.0,0.4518,2940547.0,37.9,219800.0,20,2023,0.016958409438788,0.0705382365933957,Kansas,KS
61118.0,34676.0,0.4759,4526154.0,39.2,211800.0,21,2023,0.0197622528972721,0.0445570345153965,Kentucky,KY
58229.0,34102.0,0.4967,4573749.0,38.7,215600.0,22,2023,0.0227590101686821,0.0486847879059388,Louisiana,LA
73733.0,42936.0,0.4509,1395722.0,44.9,310700.0,23,2023,0.0166157730550926,0.0382941588654474,Maine,ME
98678.0,50728.0,0.4561,6180253.0,39.8,413600.0,24,2023,0.0213902246396709,0.17020193186266,Maryland,MD
99858.0,55897.0,0.4879,7001399.0,40.3,570800.0,25,2023,0.0220108866813618,0.1804753592817664,Massachusetts,MA
69183.0,38952.0,0.4658,10037261.0,40.5,236100.0,26,2023,0.0224500488728947,0.073481400951913,Michigan,MI
85086.0,46530.0,0.4541,5737915.0,39.1,328600.0,27,2023,0.0166706896146073,0.0863296162456223,Minnesota,MN
