,Cluster 0,Cluster 1,Cluster 2
0,Alaska,California,Alabama
1,Arizona,Colorado,Arkansas
2,Delaware,Connecticut,Georgia
3,Idaho,District of Columbia,Kentucky
4,Indiana,Florida,Louisiana
5,Iowa,Hawaii,Michigan
6,Kansas,Illinois,Mississippi
7,Maine,Maryland,New Mexico
8,Minnesota,Massachusetts,North Carolina
9,Missouri,Nevada,Ohio
10,Montana,New Jersey,Oklahoma
11,Nebraska,New York,Pennsylvania
12,New Hampshire,Rhode Island,South Carolina
13,North Dakota,Texas,Tennessee
14,Oregon,Virginia,West Virginia
15,South Dakota,Washington,
16,Utah,,
17,Vermont,,
18,Wisconsin,,
19,Wyoming,,
