Airport Code,Airport Name,City,State Code (USPS)
ABE,Lehigh Valley International, Allentown,PA
ABI,Abilene Regional, Abilene,TX
ABQ,Albuquerque International, Albuquerque,NM
ACK,Nantucket Memorial, Nantucket,MA
ADQ,Kodiak, Kodiak,AK
AGS,Augusta Regional, Augusta,GA
AKN,King Salmon, King Salmon,AK
ALB,Albany County, Albany,NY
ALO,Waterloo Municipal, Waterloo,IA
AMA,Amarillo International, Amarillo,TX
ANC,Anchorage International, Anchorage,AK
ANI,Aniak, Aniak,AK
ATL,Hartsfield International, Atlanta,GA
ATW,Outagamie County Regional, Appleton,WI
AUS,Austin-Bergstrom International, Austin,TX
AVL,Asheville Regional, Asheville,NC
AVP,Wilkes-Barre/Scranton International, Scranton/Wilkes-Barre,PA
AZO,Kalamazoo/Battle Creek International, Kalamazoo,MI
BDL,Bradley International, Hartford,CT
BET,Bethel, Bethel,AK
BFL,Meadows Field, Bakersfield,CA
BGM,Binghamton Regional, Binghamton,NY
BGR,Bangor International, Bangor,ME
BHM,Birmingham International, Birmingham,AL
BIL,Billings Logan International, Billings,MT
BIS,Bismarck Municipal, Bismarck,ND
BNA,Nashville International, Nashville,TN
BOI,Boise Air Terminal/Gowen Field, Boise,ID
BOS,Logan International, Boston,MA
BQN,Rafael Hernandez, Aguadilla,PR
BRO,Brownsville/South Padre Island International, Brownsville,TX
BRW,Wiley Post-Will Rogers Memorial, Barrow,AK
BTR,Baton Rouge Metropolitan, Baton Rouge,LA
BTV,Burlington International, Burlington,VT
BUF,Buffalo Niagra International, Buffalo,NY
BUR,Burbank-Glendale-Pasadena, Burbank,CA
BWI,Baltimore/Washington International, Baltimore,MD
BZN,Gallatin Field, Bozeman,MT
CAE,Columbia Metropolitan, Columbia,SC
CAK,Akron-Canton, Akron/Canton,OH
CDV,Cordova-Mile 13, Cordova,AK
CHA,Lovell Field, Chattanooga,TN
CHS,Charleston Air Force Base/International, Charleston,SC
CID,The Eastern Iowa, Cedar Rapids,IA
CLE,Cleveland-Hopkins International, Cleveland,OH
CLT,Charlotte Douglas International, Charlotte,NC
CMH,Port Columbus International, Columbus,OH
COS,Colorado Springs, Colorado Springs,CO
CRP,Corpus Christi International, Corpus Christi,TX
CRW,Yeager, Charleston,WV
CSG,Columbus Metropolitan, Columbus,GA
CVG,Cincinnati/Northern Kentucky International, Cincinnati,OH
DAB,Daytona Beach International, Daytona Beach,FL
DAL,Dallas Love Field, Dallas/Ft. Worth,TX
DAY,James M Cox/Dayton International, Dayton,OH
DCA,Ronald Reagan Washington National, Washington,DC
DEN,Denver International, Denver,CO
DFW,Dallas/Ft.Worth International, Dallas/Ft. Worth,TX
DLG,Dillingham, Dillingham,AK
DLH,Duluth International, Duluth,MN
DRO,Durango-La Plata County, Durango,CO
DSM,Des Moines International, Des Moines,IA
DTW,Detroit Metropolitan Wayne County, Detroit,MI
DUT,Dutch Harbor, Dutch Harbor,AK
EGE,Eagle County Regional, Eagle,CO
ELM,Elmira/Corning Regional, Elmira,NY
ELP,El Paso International, El Paso,TX
ERI,Erie International, Erie,PA
EUG,Mahlon Sweet Field, Eugene,OR
EVV,Evansville Regional, Evansville,IN
EWR,Newark International, Newark,NJ
FAI,Fairbanks International, Fairbanks,AK
FAR,Hector International, Fargo,ND
FAT,Fresno Air Terminal, Fresno,CA
FAY,Fayetteville Regional/Grannis Field, Fayetteville,NC
FCA,Glacier Park International, Kalispell,MT
FLL,Ft Lauderdale-Hollywood International, Ft. Lauderdale,FL
FNT,Bishop International, Flint,MI
FSD,Joe Foss Field, Sioux Falls,SD
FWA,Ft. Wayne International, Ft. Wayne,IN
GEG,Spokane International, Spokane,WA
GFK,Grand Forks International, Grand Forks,ND
GNV,Gainesville Regional, Gainesville,FL
GPT,Gulfport-Biloxi Regional, Gulfport,MS
GRB,Austin Straubel International, Green Bay,WI
GRR,Gerald R. Ford International, Grand Rapids,MI
GSO,Piedmont Triad International, Greensboro/High Point,NC
GSP,Greenville-Spartanburg International, Greenville/Spartanburg,SC
GST,Gustavus, Gustavus,AK
GTF,Great Falls International, Great Falls,MT
GUC,Gunnison County, Gunnison,CO
GUM,Guam International, Guam,
HDN,Yampa Valley, Steamboat Springs,CO
HLN,Helena Regional, Helena,MT
HNL,Honolulu International, Honolulu,"Oahu, HI"
HOU,William P Hobby, Houston,TX
HPN,Westchester County, White Plains,NY
HRL,Rio Grande Valley International, Harlingen,TX
HSV,Huntsville International, Huntsville/Decatur,AL
HTS,Tri-State, Huntington,WV
HVN,Tweed-New Haven, New Haven,CT
IAD,Washington Dulles International, Washington,DC
IAH,George Bush Intercontinental, Houston,TX
ICT,Wichita Mid-Continent, Wichita,KS
IDA,Fanning Field, Idaho Falls,ID
ILM,New Hanover International, Wilmington,NC
IND,Indianapolis International, Indianapolis,IN
ISP,Long Island-MacArthur, Islip/Long Island,NY
ITH,Tompkins County, Ithaca,NY
ITO,General Lyman Field, Hilo,"Hawaii, HI"
JAC,Jackson Hole, Jackson,WY
JAN,Jackson International, Jackson,MS
JAX,Jacksonville International, Jacksonville,FL
JFK,John F Kennedy International, New York,NY
JNU,Juneau International, Juneau,AK
KOA,Kona International at Ke-Ahole, Kona,"Hawaii, HI"
KSM,St Mary's Airport, St. Mary's,AK
KTN,Ketchikan International, Ketchikan,AK
LAN,Capital City, Lansing,MI
LAS,McCarran International, Las Vegas,NV
LAX,Los Angeles International, Los Angeles,CA
LBB,Lubbock International, Lubbock,TX
LEX,Blue Grass, Lexington/Frankfort,KY
