Detailed Statistics Departures  
Origin Airport: Newark, NJ: Newark Liberty International (EWR)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2017, 2018, 2019, 2021, 2022, 2023 and 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Actual departure time
"F9","01/01/2021","0123","N330FR","SJU","13:08"
"F9","01/01/2021","1259","N326FR","MCO","12:09"
"F9","01/01/2022","0123","N704FR","SJU","07:06"
"F9","01/01/2022","1259","N233FR","MCO","05:25"
"F9","01/01/2022","1261","N368FR","MCO","14:14"
"F9","01/01/2022","1531","N235FR","ATL","13:10"
"F9","01/01/2022","2135","N386FR","DFW","11:04"
"F9","01/01/2022","2963","N322FR","PBI","13:24"
"F9","01/02/2021","0123","N353FR","SJU","13:21"
"F9","01/02/2021","0259","N329FR","DEN","12:52"
"F9","01/02/2021","1259","N354FR","MCO","13:15"
"F9","01/02/2021","1261","N305FR","MCO","21:57"
"F9","01/02/2021","2183","N350FR","LAS","07:23"
"F9","01/02/2021","2959","N330FR","MIA","11:23"
"F9","01/02/2022","0123","N716FR","SJU","07:07"
"F9","01/02/2022","1259","N370FR","MCO","05:35"
"F9","01/02/2022","1261","","MCO","00:00"
"F9","01/02/2022","1531","N365FR","ATL","15:46"
"F9","01/02/2022","2135","N359FR","DFW","10:53"
"F9","01/02/2022","2555","N346FR","TPA","14:25"
"F9","01/02/2022","2959","N362FR","MIA","14:32"
"F9","01/02/2022","2963","","PBI","00:00"
"F9","01/03/2021","1259","N356FR","MCO","12:19"
"F9","01/03/2021","2183","N361FR","LAS","07:30"
"F9","01/03/2021","2959","N353FR","MIA","11:32"
"F9","01/03/2022","0123","N713FR","SJU","07:00"
"F9","01/03/2022","1259","N331FR","MCO","05:37"
"F9","01/03/2022","1261","N331FR","MCO","13:22"
"F9","01/03/2022","1531","N324FR","ATL","14:16"
"F9","01/03/2022","2135","N381FR","DFW","11:17"
"F9","01/03/2022","2555","N358FR","TPA","11:25"
"F9","01/03/2022","2959","N353FR","MIA","12:56"
"F9","01/03/2022","2963","N351FR","PBI","14:11"
"F9","01/04/2021","0123","N316FR","SJU","13:10"
"F9","01/04/2021","0259","N365FR","DEN","12:42"
"F9","01/04/2021","1259","N323FR","MCO","12:28"
"F9","01/04/2021","2183","N370FR","LAS","07:26"
"F9","01/04/2022","0123","N719FR","SJU","07:23"
"F9","01/04/2022","1259","N329FR","MCO","05:25"
"F9","01/04/2022","1261","N373FR","MCO","13:26"
"F9","01/04/2022","1531","N370FR","ATL","16:31"
"F9","01/04/2022","2135","N310FR","DFW","11:15"
"F9","01/04/2022","2555","N368FR","TPA","11:28"
"F9","01/04/2022","2959","N347FR","MIA","17:15"
"F9","01/04/2022","2963","N211FR","PBI","14:35"
"F9","01/05/2021","1259","N236FR","MCO","10:23"
"F9","01/05/2021","2183","N331FR","LAS","17:49"
"F9","01/05/2021","2959","N316FR","MIA","11:20"
"F9","01/05/2022","1259","N351FR","MCO","05:59"
"F9","01/05/2022","1261","N352FR","MCO","13:03"
"F9","01/05/2022","1531","N358FR","ATL","13:27"
"F9","01/05/2022","2135","N313FR","DFW","10:59"
"F9","01/06/2022","1259","N377FR","MCO","05:48"
"F9","01/06/2022","1261","N362FR","MCO","12:50"
"F9","01/06/2022","1531","N329FR","ATL","13:07"
"F9","01/06/2022","2959","N334FR","MIA","12:48"
"F9","01/07/2021","1259","N338FR","MCO","14:40"
"F9","01/07/2021","2961","N301FR","MIA","18:50"
"F9","01/07/2022","1259","N232FR","MCO","06:06"
"F9","01/07/2022","1261","N385FR","MCO","15:37"
"F9","01/07/2022","1531","N236FR","ATL","16:09"
"F9","01/07/2022","2959","","MIA","00:00"
"F9","01/08/2021","2959","N335FR","MIA","13:06"
"F9","01/08/2022","1259","N323FR","MCO","06:01"
"F9","01/08/2022","1261","N350FR","MCO","13:42"
"F9","01/08/2022","1531","N378FR","ATL","13:11"
"F9","01/09/2022","1259","N358FR","MCO","05:53"
"F9","01/09/2022","1261","N721FR","MCO","14:33"
"F9","01/09/2022","1531","N309FR","ATL","13:02"
"F9","01/09/2022","2959","N381FR","MIA","12:12"
"F9","01/10/2021","1259","N329FR","MCO","15:54"
"F9","01/10/2021","2959","N372FR","MIA","13:06"
"F9","01/10/2021","2961","N236FR","MIA","18:52"
"F9","01/10/2022","1259","N352FR","MCO","05:52"
"F9","01/10/2022","1261","N313FR","MCO","12:56"
"F9","01/10/2022","1531","N365FR","ATL","13:15"
"F9","01/10/2022","2959","N386FR","MIA","12:21"
"F9","01/11/2021","2959","N236FR","MIA","13:08"
"F9","01/11/2022","1259","N372FR","MCO","05:53"
"F9","01/11/2022","1261","N339FR","MCO","13:00"
"F9","01/11/2022","1531","N343FR","ATL","13:10"
"F9","01/12/2022","1259","N380FR","MCO","05:52"
"F9","01/12/2022","1261","N360FR","MCO","12:57"
"F9","01/12/2022","1531","N336FR","ATL","13:05"
"F9","01/13/2022","1259","N353FR","MCO","06:03"
"F9","01/13/2022","1261","N346FR","MCO","13:08"
"F9","01/13/2022","1531","N310FR","ATL","14:54"
"F9","01/13/2022","2959","N337FR","MIA","12:31"
"F9","01/14/2021","2961","N365FR","MIA","18:55"
"F9","01/14/2022","1259","N316FR","MCO","05:52"
"F9","01/14/2022","1261","N385FR","MCO","13:31"
"F9","01/14/2022","1531","N348FR","ATL","13:17"
"F9","01/14/2022","2959","N382FR","MIA","12:18"
"F9","01/15/2021","1259","N328FR","MCO","14:53"
"F9","01/15/2021","2959","N358FR","MIA","12:59"
"F9","01/15/2022","1259","N336FR","MCO","06:58"
"F9","01/15/2022","1261","N334FR","MCO","12:57"
"F9","01/15/2022","1531","N341FR","ATL","13:05"
"F9","01/16/2022","1259","","MCO","00:00"
"F9","01/16/2022","1261","N714FR","MCO","13:01"
"F9","01/16/2022","1531","","ATL","00:00"
"F9","01/17/2021","1259","N324FR","MCO","14:51"
"F9","01/17/2021","2961","N313FR","MIA","18:46"
"F9","01/17/2022","1259","N374FR","MCO","06:00"
"F9","01/17/2022","1261","N706FR","MCO","13:51"
"F9","01/17/2022","1531","","ATL","00:00"
