Detailed Statistics Departures  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2017, 2018, 2019, 2021, 2022, 2023 and 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Actual departure time
"F9","01/01/2018","1149","N203FR","LAS","22:50"
"F9","01/01/2018","1517","N203FR","SAT","06:36"
"F9","01/01/2018","1623","N233FR","MCO","18:02"
"F9","01/01/2019","1148","N317FR","MCO","16:29"
"F9","01/01/2019","1151","N211FR","LAS","10:36"
"F9","01/01/2019","1923","N941FR","AUS","11:55"
"F9","01/01/2021","1087","N366FR","MCO","20:49"
"F9","01/02/2017","1747","N943FR","MCO","17:53"
"F9","01/02/2018","1149","N213FR","LAS","01:42"
"F9","01/02/2018","1623","N218FR","MCO","13:41"
"F9","01/02/2018","1923","N205FR","AUS","05:58"
"F9","01/02/2019","1625","N317FR","MCO","17:42"
"F9","01/02/2019","1923","N926FR","AUS","11:51"
"F9","01/02/2022","1087","N368FR","MCO","20:19"
"F9","01/03/2018","1149","N303FR","LAS","22:39"
"F9","01/03/2018","1517","N303FR","SAT","05:59"
"F9","01/03/2018","1623","N216FR","MCO","17:23"
"F9","01/03/2019","1148","N232FR","MCO","16:28"
"F9","01/03/2019","1151","N317FR","LAS","10:28"
"F9","01/03/2019","1923","N927FR","AUS","11:45"
"F9","01/04/2017","1747","N953FR","MCO","17:52"
"F9","01/04/2018","1149","N232FR","LAS","22:43"
"F9","01/04/2018","1623","N216FR","MCO","13:02"
"F9","01/04/2018","1923","N232FR","AUS","05:56"
"F9","01/04/2019","1625","N331FR","MCO","17:40"
"F9","01/04/2021","1087","N366FR","MCO","12:24"
"F9","01/04/2022","1087","N386FR","MCO","14:30"
"F9","01/05/2017","1747","N952FR","MCO","17:45"
"F9","01/05/2018","1149","N207FR","LAS","23:07"
"F9","01/05/2018","1517","N207FR","SAT","05:57"
"F9","01/05/2018","1623","N310FR","MCO","12:19"
"F9","01/05/2019","1086","N311FR","MCO","19:28"
"F9","01/05/2019","1841","N949FR","AUS","11:50"
"F9","01/06/2017","1747","N910FR","MCO","17:46"
"F9","01/06/2018","1149","N316FR","LAS","22:38"
"F9","01/06/2018","1517","N316FR","SAT","05:56"
"F9","01/06/2018","1623","N304FR","MCO","12:15"
"F9","01/06/2019","1086","N202FR","MCO","16:28"
"F9","01/06/2019","1087","N331FR","LAS","10:33"
"F9","01/06/2019","1841","N910FR","AUS","11:57"
"F9","01/07/2017","1747","N951FR","MCO","17:49"
"F9","01/07/2018","1149","N301FR","LAS","22:29"
"F9","01/07/2018","1623","N236FR","MCO","12:22"
"F9","01/07/2018","1923","N301FR","AUS","05:57"
"F9","01/08/2017","1747","N954FR","MCO","18:24"
"F9","01/08/2018","1149","N316FR","LAS","22:57"
"F9","01/08/2018","1517","N316FR","SAT","05:56"
"F9","01/08/2018","1623","N311FR","MCO","12:16"
"F9","01/08/2019","1086","N317FR","MCO","16:28"
"F9","01/08/2019","1087","N329FR","LAS","10:12"
"F9","01/08/2019","1841","N927FR","AUS","11:48"
"F9","01/09/2017","1747","N943FR","MCO","17:41"
"F9","01/09/2018","1149","N219FR","LAS","03:11"
"F9","01/09/2018","1623","N235FR","MCO","12:23"
"F9","01/09/2018","1923","N219FR","AUS","05:56"
"F9","01/09/2019","1086","N326FR","MCO","17:36"
"F9","01/09/2019","1841","N949FR","AUS","11:52"
"F9","01/10/2017","1747","N951FR","MCO","17:36"
"F9","01/10/2018","1149","N322FR","LAS","22:33"
"F9","01/10/2018","1517","N322FR","SAT","06:37"
"F9","01/10/2018","1623","N310FR","MCO","14:00"
"F9","01/10/2019","1086","N343FR","MCO","16:33"
"F9","01/10/2019","1087","N308FR","LAS","10:29"
"F9","01/10/2019","1841","N949FR","AUS","11:56"
"F9","01/11/2017","1747","N953FR","MCO","18:47"
"F9","01/11/2018","1149","N203FR","LAS","22:49"
"F9","01/11/2018","1623","N230FR","MCO","12:33"
"F9","01/11/2018","1923","N203FR","AUS","07:06"
"F9","01/11/2019","1086","N229FR","MCO","17:34"
"F9","01/12/2017","1747","N941FR","MCO","17:40"
"F9","01/12/2018","1149","N318FR","LAS","22:35"
"F9","01/12/2018","1517","N318FR","SAT","05:58"
"F9","01/12/2018","1623","N301FR","MCO","12:35"
"F9","01/12/2019","1086","N343FR","MCO","17:43"
"F9","01/12/2019","1841","N910FR","AUS","11:49"
"F9","01/13/2017","1747","N948FR","MCO","17:40"
"F9","01/13/2018","1149","N201FR","LAS","22:38"
"F9","01/13/2018","1517","N201FR","SAT","05:52"
"F9","01/13/2018","1623","N220FR","MCO","13:30"
"F9","01/13/2019","1086","N337FR","MCO","21:29"
"F9","01/13/2019","1087","N207FR","LAS","10:08"
"F9","01/13/2019","1841","N910FR","AUS","11:51"
"F9","01/14/2017","1747","N953FR","MCO","17:49"
"F9","01/14/2018","1149","N304FR","LAS","22:44"
"F9","01/14/2018","1623","N317FR","MCO","12:16"
"F9","01/14/2018","1923","N304FR","AUS","06:04"
"F9","01/15/2017","1747","N951FR","MCO","17:37"
"F9","01/15/2018","1149","N235FR","LAS","22:35"
"F9","01/15/2018","1517","N235FR","SAT","05:52"
"F9","01/15/2018","1623","N311FR","MCO","12:16"
"F9","01/15/2019","1086","N339FR","MCO","16:25"
"F9","01/15/2019","1087","N313FR","LAS","10:57"
"F9","01/15/2019","1841","N949FR","AUS","11:58"
"F9","01/15/2021","1087","N348FR","MCO","14:09"
"F9","01/16/2017","1747","N943FR","MCO","17:44"
"F9","01/16/2018","1149","N216FR","LAS","22:53"
"F9","01/16/2018","1623","N220FR","MCO","12:26"
"F9","01/16/2018","1923","N216FR","AUS","06:00"
"F9","01/16/2019","1086","N312FR","MCO","17:38"
"F9","01/16/2019","1841","N949FR","AUS","12:02"
"F9","01/17/2017","1747","N953FR","MCO","17:38"
"F9","01/17/2018","1149","N235FR","LAS","22:25"
"F9","01/17/2018","1517","N235FR","SAT","05:58"
"F9","01/17/2018","1623","N205FR","MCO","12:16"
"F9","01/17/2019","1086","N301FR","MCO","18:22"
