Date,Flight Count,Carrier Type,Year,Month,Week,Day,Day of Week
2017-01-01,459,Low-cost,2017,1,52,1,Sun
2017-01-02,478,Low-cost,2017,1,1,2,Mon
2017-01-03,485,Low-cost,2017,1,1,3,Tue
2017-01-04,458,Low-cost,2017,1,1,4,Wed
2017-01-05,470,Low-cost,2017,1,1,5,Thu
2017-01-06,473,Low-cost,2017,1,1,6,Fri
2017-01-07,398,Low-cost,2017,1,1,7,Sat
2017-01-08,432,Low-cost,2017,1,1,8,Sun
2017-01-09,471,Low-cost,2017,1,2,9,Mon
2017-01-10,469,Low-cost,2017,1,2,10,Tue
2017-01-11,470,Low-cost,2017,1,2,11,Wed
2017-01-12,472,Low-cost,2017,1,2,12,Thu
2017-01-13,473,Low-cost,2017,1,2,13,Fri
2017-01-14,398,Low-cost,2017,1,2,14,Sat
2017-01-15,435,Low-cost,2017,1,2,15,Sun
2017-01-16,474,Low-cost,2017,1,3,16,Mon
2017-01-17,468,Low-cost,2017,1,3,17,Tue
2017-01-18,469,Low-cost,2017,1,3,18,Wed
2017-01-19,471,Low-cost,2017,1,3,19,Thu
2017-01-20,472,Low-cost,2017,1,3,20,Fri
2017-01-21,398,Low-cost,2017,1,3,21,Sat
2017-01-22,433,Low-cost,2017,1,3,22,Sun
2017-01-23,472,Low-cost,2017,1,4,23,Mon
2017-01-24,464,Low-cost,2017,1,4,24,Tue
2017-01-25,466,Low-cost,2017,1,4,25,Wed
2017-01-26,468,Low-cost,2017,1,4,26,Thu
2017-01-27,472,Low-cost,2017,1,4,27,Fri
2017-01-28,397,Low-cost,2017,1,4,28,Sat
2017-01-29,433,Low-cost,2017,1,4,29,Sun
2017-01-30,469,Low-cost,2017,1,5,30,Mon
2017-01-31,466,Low-cost,2017,1,5,31,Tue
2017-02-01,469,Low-cost,2017,2,5,1,Wed
2017-02-02,470,Low-cost,2017,2,5,2,Thu
2017-02-03,467,Low-cost,2017,2,5,3,Fri
2017-02-04,392,Low-cost,2017,2,5,4,Sat
2017-02-05,371,Low-cost,2017,2,5,5,Sun
2017-02-06,464,Low-cost,2017,2,6,6,Mon
2017-02-07,466,Low-cost,2017,2,6,7,Tue
2017-02-08,467,Low-cost,2017,2,6,8,Wed
2017-02-09,470,Low-cost,2017,2,6,9,Thu
2017-02-10,471,Low-cost,2017,2,6,10,Fri
2017-02-11,398,Low-cost,2017,2,6,11,Sat
2017-02-12,432,Low-cost,2017,2,6,12,Sun
2017-02-13,472,Low-cost,2017,2,7,13,Mon
2017-02-14,405,Low-cost,2017,2,7,14,Tue
2017-02-15,468,Low-cost,2017,2,7,15,Wed
2017-02-16,474,Low-cost,2017,2,7,16,Thu
2017-02-17,473,Low-cost,2017,2,7,17,Fri
2017-02-18,396,Low-cost,2017,2,7,18,Sat
2017-02-19,432,Low-cost,2017,2,7,19,Sun
2017-02-20,472,Low-cost,2017,2,8,20,Mon
2017-02-21,472,Low-cost,2017,2,8,21,Tue
2017-02-22,472,Low-cost,2017,2,8,22,Wed
2017-02-23,475,Low-cost,2017,2,8,23,Thu
2017-02-24,471,Low-cost,2017,2,8,24,Fri
2017-02-25,398,Low-cost,2017,2,8,25,Sat
2017-02-26,433,Low-cost,2017,2,8,26,Sun
2017-02-27,472,Low-cost,2017,2,9,27,Mon
2017-02-28,469,Low-cost,2017,2,9,28,Tue
2017-03-01,468,Low-cost,2017,3,9,1,Wed
2017-03-02,473,Low-cost,2017,3,9,2,Thu
2017-03-03,474,Low-cost,2017,3,9,3,Fri
2017-03-04,398,Low-cost,2017,3,9,4,Sat
2017-03-05,433,Low-cost,2017,3,9,5,Sun
2017-03-06,474,Low-cost,2017,3,10,6,Mon
2017-03-07,469,Low-cost,2017,3,10,7,Tue
2017-03-08,473,Low-cost,2017,3,10,8,Wed
2017-03-09,484,Low-cost,2017,3,10,9,Thu
2017-03-10,484,Low-cost,2017,3,10,10,Fri
2017-03-11,421,Low-cost,2017,3,10,11,Sat
2017-03-12,478,Low-cost,2017,3,10,12,Sun
2017-03-13,488,Low-cost,2017,3,11,13,Mon
2017-03-14,484,Low-cost,2017,3,11,14,Tue
2017-03-15,487,Low-cost,2017,3,11,15,Wed
2017-03-16,490,Low-cost,2017,3,11,16,Thu
2017-03-17,485,Low-cost,2017,3,11,17,Fri
2017-03-18,423,Low-cost,2017,3,11,18,Sat
2017-03-19,478,Low-cost,2017,3,11,19,Sun
2017-03-20,487,Low-cost,2017,3,12,20,Mon
2017-03-21,485,Low-cost,2017,3,12,21,Tue
2017-03-22,486,Low-cost,2017,3,12,22,Wed
2017-03-23,489,Low-cost,2017,3,12,23,Thu
2017-03-24,484,Low-cost,2017,3,12,24,Fri
2017-03-25,424,Low-cost,2017,3,12,25,Sat
2017-03-26,478,Low-cost,2017,3,12,26,Sun
2017-03-27,486,Low-cost,2017,3,13,27,Mon
2017-03-28,483,Low-cost,2017,3,13,28,Tue
2017-03-29,484,Low-cost,2017,3,13,29,Wed
