Flight Count,Year,Month,Week,Day,Day of Week,Holiday
2510,2017,1,52,1,Sun,New Year's Day
2837,2017,1,1,2,Mon,New Year's Day (observed)
2789,2017,1,1,3,Tue,
2693,2017,1,1,4,Wed,
2737,2017,1,1,5,Thu,
2747,2017,1,1,6,Fri,
2230,2017,1,1,7,Sat,
2672,2017,1,1,8,Sun,
2828,2017,1,2,9,Mon,
2686,2017,1,2,10,Tue,
2725,2017,1,2,11,Wed,
2836,2017,1,2,12,Thu,
2839,2017,1,2,13,Fri,
2090,2017,1,2,14,Sat,
2431,2017,1,2,15,Sun,
2823,2017,1,3,16,Mon,Martin Luther King Jr. Day
2680,2017,1,3,17,Tue,
2725,2017,1,3,18,Wed,
2835,2017,1,3,19,Thu,
2843,2017,1,3,20,Fri,
2142,2017,1,3,21,Sat,
2633,2017,1,3,22,Sun,
2827,2017,1,4,23,Mon,
2677,2017,1,4,24,Tue,
2721,2017,1,4,25,Wed,
2835,2017,1,4,26,Thu,
2841,2017,1,4,27,Fri,
2134,2017,1,4,28,Sat,
2612,2017,1,4,29,Sun,
2826,2017,1,5,30,Mon,
2680,2017,1,5,31,Tue,
2724,2017,2,5,1,Wed,
2839,2017,2,5,2,Thu,
2845,2017,2,5,3,Fri,
2090,2017,2,5,4,Sat,
2384,2017,2,5,5,Sun,
2820,2017,2,6,6,Mon,
2685,2017,2,6,7,Tue,
2724,2017,2,6,8,Wed,
2842,2017,2,6,9,Thu,
2844,2017,2,6,10,Fri,
2137,2017,2,6,11,Sat,
2640,2017,2,6,12,Sun,
2831,2017,2,7,13,Mon,
2623,2017,2,7,14,Tue,
2741,2017,2,7,15,Wed,
2889,2017,2,7,16,Thu,
2909,2017,2,7,17,Fri,
2204,2017,2,7,18,Sat,
2544,2017,2,7,19,Sun,
2890,2017,2,8,20,Mon,Washington's Birthday
2832,2017,2,8,21,Tue,
2845,2017,2,8,22,Wed,
2901,2017,2,8,23,Thu,
2901,2017,2,8,24,Fri,
2271,2017,2,8,25,Sat,
2743,2017,2,8,26,Sun,
2899,2017,2,9,27,Mon,
2820,2017,2,9,28,Tue,
2845,2017,3,9,1,Wed,
2905,2017,3,9,2,Thu,
2910,2017,3,9,3,Fri,
2283,2017,3,9,4,Sat,
2761,2017,3,9,5,Sun,
2921,2017,3,10,6,Mon,
2841,2017,3,10,7,Tue,
2862,2017,3,10,8,Wed,
2973,2017,3,10,9,Thu,
2969,2017,3,10,10,Fri,
2443,2017,3,10,11,Sat,
2893,2017,3,10,12,Sun,
2973,2017,3,11,13,Mon,
2877,2017,3,11,14,Tue,
2907,2017,3,11,15,Wed,
2975,2017,3,11,16,Thu,
2969,2017,3,11,17,Fri,
2446,2017,3,11,18,Sat,
2898,2017,3,11,19,Sun,
2971,2017,3,12,20,Mon,
2878,2017,3,12,21,Tue,
2907,2017,3,12,22,Wed,
2976,2017,3,12,23,Thu,
2966,2017,3,12,24,Fri,
2449,2017,3,12,25,Sat,
2861,2017,3,12,26,Sun,
2965,2017,3,13,27,Mon,
2873,2017,3,13,28,Tue,
2904,2017,3,13,29,Wed,
2966,2017,3,13,30,Thu,
2952,2017,3,13,31,Fri,
2438,2017,4,13,1,Sat,
2889,2017,4,13,2,Sun,
2984,2017,4,14,3,Mon,
2899,2017,4,14,4,Tue,
2914,2017,4,14,5,Wed,
2978,2017,4,14,6,Thu,
2983,2017,4,14,7,Fri,
2418,2017,4,14,8,Sat,
2862,2017,4,14,9,Sun,
2979,2017,4,15,10,Mon,
2889,2017,4,15,11,Tue,
2915,2017,4,15,12,Wed,
2985,2017,4,15,13,Thu,
2977,2017,4,15,14,Fri,
2375,2017,4,15,15,Sat,
2794,2017,4,15,16,Sun,
2982,2017,4,16,17,Mon,
2890,2017,4,16,18,Tue,
2917,2017,4,16,19,Wed,
2988,2017,4,16,20,Thu,
2997,2017,4,16,21,Fri,
2426,2017,4,16,22,Sat,
2869,2017,4,16,23,Sun,
3005,2017,4,17,24,Mon,
2903,2017,4,17,25,Tue,
2932,2017,4,17,26,Wed,
3018,2017,4,17,27,Thu,
3029,2017,4,17,28,Fri,
2427,2017,4,17,29,Sat,
2893,2017,4,17,30,Sun,
3032,2017,5,18,1,Mon,
2942,2017,5,18,2,Tue,
2966,2017,5,18,3,Wed,
3022,2017,5,18,4,Thu,
3055,2017,5,18,5,Fri,
2465,2017,5,18,6,Sat,
2928,2017,5,18,7,Sun,
3059,2017,5,19,8,Mon,
2994,2017,5,19,9,Tue,
3010,2017,5,19,10,Wed,
3057,2017,5,19,11,Thu,
3063,2017,5,19,12,Fri,
2433,2017,5,19,13,Sat,
2877,2017,5,19,14,Sun,
3060,2017,5,20,15,Mon,
2999,2017,5,20,16,Tue,
3012,2017,5,20,17,Wed,
3057,2017,5,20,18,Thu,
3067,2017,5,20,19,Fri,
2473,2017,5,20,20,Sat,
2945,2017,5,20,21,Sun,
3063,2017,5,21,22,Mon,
3004,2017,5,21,23,Tue,
3022,2017,5,21,24,Wed,
3105,2017,5,21,25,Thu,
3104,2017,5,21,26,Fri,
2417,2017,5,21,27,Sat,
2535,2017,5,21,28,Sun,
2921,2017,5,22,29,Mon,Memorial Day
3010,2017,5,22,30,Tue,
3019,2017,5,22,31,Wed,
3062,2017,6,22,1,Thu,
3092,2017,6,22,2,Fri,
2538,2017,6,22,3,Sat,
2973,2017,6,22,4,Sun,
3097,2017,6,23,5,Mon,
3055,2017,6,23,6,Tue,
3063,2017,6,23,7,Wed,
3140,2017,6,23,8,Thu,
3156,2017,6,23,9,Fri,
2614,2017,6,23,10,Sat,
3033,2017,6,23,11,Sun,
3160,2017,6,24,12,Mon,
3128,2017,6,24,13,Tue,
3136,2017,6,24,14,Wed,
3155,2017,6,24,15,Thu,
3165,2017,6,24,16,Fri,
2640,2017,6,24,17,Sat,
3022,2017,6,24,18,Sun,
3163,2017,6,25,19,Mon,
3133,2017,6,25,20,Tue,
3140,2017,6,25,21,Wed,
3162,2017,6,25,22,Thu,
3165,2017,6,25,23,Fri,
2644,2017,6,25,24,Sat,
3045,2017,6,25,25,Sun,
3176,2017,6,26,26,Mon,
3131,2017,6,26,27,Tue,
3137,2017,6,26,28,Wed,
3170,2017,6,26,29,Thu,
3192,2017,6,26,30,Fri,
2665,2017,7,26,1,Sat,
2712,2017,7,26,2,Sun,
2702,2017,7,27,3,Mon,
2696,2017,7,27,4,Tue,Independence Day
3074,2017,7,27,5,Wed,
3081,2017,7,27,6,Thu,
3089,2017,7,27,7,Fri,
2661,2017,7,27,8,Sat,
3068,2017,7,27,9,Sun,
3209,2017,7,28,10,Mon,
