Objectid,Year,Airport Code,Enplanements,Passengers,Departures,Arrivals,Freight,Mail,Airport Name,City,State Code (USPS),State Name,State Code (FIPS)
1,2023,ATL,44721151,44940145,340757,340435.0,320592384,17033732,Hartsfield International, Atlanta,GA,Georgia,13.0
2,2023,DEN,35892655,36089755,307789,307873.0,257037213,12698972,Denver International, Denver,CO,Colorado,8.0
3,2023,DFW,33853033,33892107,297097,297129.0,442306764,22686642,Dallas/Ft.Worth International, Dallas/Ft. Worth,TX,Texas,48.0
4,2023,ORD,29305603,29379846,303030,302931.0,386208675,29107924,Chicago O'Hare International, Chicago,IL,Illinois,17.0
5,2023,LAS,26216256,26443518,202540,202475.0,89632420,2773334,McCarran International, Las Vegas,NV,Nevada,32.0
6,2023,LAX,26090601,26238051,206862,207597.0,839943095,84523282,Los Angeles International, Los Angeles,CA,California,6.0
7,2023,MCO,24741803,24850596,173211,173170.0,159978671,9388429,Orlando International, Orlando,FL,Florida,12.0
8,2023,CLT,23811326,23850449,229491,229508.0,135037884,8241202,Charlotte Douglas International, Charlotte,NC,North Carolina,37.0
9,2023,PHX,22624711,22839703,194163,193969.0,313904054,10722282,Phoenix Sky Harbor International, Phoenix,AZ,Arizona,4.0
10,2023,SEA,21814595,21824644,188020,188057.0,289647574,21823498,Seattle Tacoma International, Seattle,WA,Washington,53.0
11,2023,SFO,17430769,17463802,140715,140711.0,198723454,17025869,San Francisco International, San Francisco,CA,California,6.0
12,2023,EWR,17292936,17305863,155862,154183.0,474401542,11216365,Newark International, Newark,NJ,New Jersey,34.0
13,2023,IAH,16584020,16680987,161177,161231.0,314450720,14532148,George Bush Intercontinental, Houston,TX,Texas,48.0
14,2023,BOS,16110499,16122881,158573,158947.0,154638201,4895867,Logan International, Boston,MA,Massachusetts,25.0
15,2023,MSP,15552291,15578893,139143,139610.0,169604305,9785506,Minneapolis-St Paul International, Minneapls/St Paul,MN,Minnesota,27.0
16,2023,LGA,15243161,15243943,162666,162617.0,6230625,607467,LaGuardia, New York,NY,New York,36.0
17,2023,JFK,14313424,14327005,136529,136828.0,354994177,12371010,John F Kennedy International, New York,NY,New York,36.0
