Date,Airline,Flight Count,Year
2017-01-01,American,962,2017
2017-01-08,American,6915,2017
2017-01-15,American,6557,2017
2017-01-22,American,6596,2017
2017-01-29,American,6595,2017
2017-02-05,American,6587,2017
2017-02-12,American,6593,2017
2017-02-19,American,6716,2017
2017-02-26,American,6869,2017
2017-03-05,American,6881,2017
2017-03-12,American,7003,2017
2017-03-19,American,7016,2017
2017-03-26,American,6982,2017
2017-04-02,American,6964,2017
2017-04-09,American,6855,2017
2017-04-16,American,6833,2017
2017-04-23,American,6836,2017
2017-04-30,American,6837,2017
2017-05-07,American,6890,2017
2017-05-14,American,6980,2017
2017-05-21,American,6991,2017
2017-05-28,American,6999,2017
2017-06-04,American,7115,2017
2017-06-11,American,7246,2017
2017-06-18,American,7248,2017
2017-06-25,American,7267,2017
2017-07-02,American,7249,2017
2017-07-09,American,7162,2017
2017-07-16,American,7335,2017
2017-07-23,American,7337,2017
2017-07-30,American,7336,2017
2017-08-06,American,7326,2017
2017-08-13,American,7258,2017
2017-08-20,American,7230,2017
2017-08-27,American,7168,2017
2017-09-03,American,7021,2017
2017-09-10,American,6820,2017
2017-09-17,American,6857,2017
2017-09-24,American,6859,2017
2017-10-01,American,6858,2017
2017-10-08,American,6862,2017
2017-10-15,American,6899,2017
2017-10-22,American,6902,2017
2017-10-29,American,6900,2017
2017-11-05,American,6787,2017
2017-11-12,American,6696,2017
2017-11-19,American,6658,2017
2017-11-26,American,6199,2017
2017-12-03,American,6634,2017
2017-12-10,American,6559,2017
2017-12-17,American,6727,2017
2017-12-24,American,7095,2017
2017-12-31,American,6983,2017
2018-01-07,American,7107,2018
2018-01-14,American,6636,2018
2018-01-21,American,6609,2018
2018-01-28,American,6644,2018
2018-02-04,American,6631,2018
2018-02-11,American,6650,2018
2018-02-18,American,6935,2018
2018-02-25,American,7180,2018
2018-03-04,American,7165,2018
2018-03-11,American,7118,2018
2018-03-18,American,7136,2018
2018-03-25,American,7138,2018
2018-04-01,American,7052,2018
2018-04-08,American,6962,2018
2018-04-15,American,6948,2018
2018-04-22,American,6949,2018
2018-04-29,American,6951,2018
