State Name,Enplanements,Median Household Income,Per Capita Income,Gini Index of Income Inequality,Total Population,Median Home Value,State Code (FIPS),Year,Unemployment Rate,Percent Foreigners,State Code (USPS),MDS_D1,MDS_D2,MDS_D3
Alabama,669767.75,62212.0,35046.0,0.4771,5108468.0,216600.0,1,2023,0.0188038762306037,0.0397659337398218,AL,0.8721733034417407,-1.019708298981053,-1.7360636175701163
Alaska,211240.47619047615,86631.0,45792.0,0.4492,733406.0,347500.0,2,2023,0.0238680894347741,0.0744076268806091,AK,-0.8382143093212759,-1.202309843728677,1.0617640622458964
Arizona,12272662.5,77315.0,41290.0,0.465,7431344.0,411200.0,4,2023,0.0208824944720631,0.1319985994458068,AZ,0.06242164468617469,0.13084217969078554,0.38615516187949334
Arkansas,1096748.0,58700.0,33012.0,0.474,3067732.0,195700.0,5,2023,0.0194638905875741,0.0529185730696162,AR,0.9716948693254225,-1.4776238086748217,-1.6926443796387298
California,5954075.933333334,95521.0,48013.0,0.487,38965193.0,725800.0,6,2023,0.0285089310349367,0.273064655422084,CA,1.6548801432497657,5.790125013806884,2.169267046065822
Colorado,5431622.857142857,92911.0,51768.0,0.4575,5877610.0,550300.0,8,2023,0.0211541766126027,0.0958044171015089,CO,-1.4157835575963515,0.38231741989297613,1.645475112221561
Connecticut,1779898.5,91665.0,53119.0,0.4954,3617176.0,367800.0,9,2023,0.0250866974678589,0.1632787566875374,CT,1.1561972886555187,0.3163015051958978,2.571329288884147
District of Columbia,9853241.5,108210.0,78479.0,0.5163,678972.0,715500.0,11,2023,0.0314976169856783,0.14055807897822,DC,1.1430787689676978,1.2220071318965087,6.873847548757769
Florida,5814655.571428572,73311.0,41902.0,0.4829,22610726.0,381000.0,12,2023,0.0203420712806833,0.2209957345022888,FL,1.5368083962705938,2.558677982251827,-0.011198865561635737
Georgia,11743640.0,74632.0,39685.0,0.4787,11029227.0,323000.0,13,2023,0.0224304930889535,0.1155531570798207,GA,1.1101844223205157,0.21308942206472417,0.027105159904956228
Hawaii,3362938.8,95322.0,43794.0,0.4512,1435138.0,846400.0,15,2023,0.0170185724299684,0.1782093429342683,HI,-3.2148135082714506,1.640512785909354,1.9965112638183442
Idaho,886164.6666666666,74942.0,37426.0,0.4404,1964726.0,428600.0,16,2023,0.0177602373053545,0.0570099851073381,ID,-1.5080581418475683,-1.4345982115112037,-0.3619279830780801
Illinois,10045260.0,80306.0,45043.0,0.481,12549689.0,263300.0,17,2023,0.0249831689056198,0.1497160606928187,IL,1.564750860236704,0.6669940752188512,0.7894282024493314
Indiana,1428673.75,69477.0,37299.0,0.4536,6862199.0,225900.0,18,2023,0.0186488325389572,0.063048594189705,IN,-0.17344613077335097,-0.9592415237455719,-1.226785172786094
Iowa,562314.5,71433.0,39518.0,0.4464,3207004.0,213300.0,19,2023,0.0147093673721641,0.0588103413653366,IA,-1.2065588147993977,-0.9901283082524522,-1.750728591508307
Kansas,842987.0,70333.0,38361.0,0.4518,2940547.0,219800.0,20,2023,0.016958409438788,0.0705382365933957,KS,-0.6446158019276327,-1.0658142109128503,-1.3482465163998216
Kentucky,1466315.5,61118.0,34676.0,0.4759,4526154.0,211800.0,21,2023,0.0197622528972721,0.0445570345153965,KY,0.9832387856097676,-1.199685127650649,-1.568222464287354
Louisiana,1440632.2,58229.0,34102.0,0.4967,4573749.0,215600.0,22,2023,0.0227590101686821,0.0486847879059388,LA,2.3128288419568253,-1.3633009339323272,-1.1013146439745602
Maine,730884.5,73733.0,42936.0,0.4509,1395722.0,310700.0,23,2023,0.0166157730550926,0.0382941588654474,ME,-1.2452792169594598,-0.8500283386578157,-1.0112985573712852
Maryland,12175468.0,98678.0,50728.0,0.4561,6180253.0,413600.0,24,2023,0.0213902246396709,0.17020193186266,MD,-1.0766682215464192,1.1378631996157833,1.6424025644613405
Massachusetts,8123009.5,99858.0,55897.0,0.4879,7001399.0,570800.0,25,2023,0.0220108866813618,0.1804753592817664,MA,-0.3096264132388099,1.7062307544580833,2.8542713100917996
Michigan,2383196.8571428573,69183.0,38952.0,0.4658,10037261.0,236100.0,26,2023,0.0224500488728947,0.073481400951913,MI,0.9861722259344372,-0.27255246978252456,-0.7725959666726198
Minnesota,5257828.666666667,85086.0,46530.0,0.4541,5737915.0,328600.0,27,2023,0.0166706896146073,0.0863296162456223,MN,-1.2989145824803792,0.28564015950888527,-0.3317086649187467
Mississippi,501425.5,54203.0,30807.0,0.4843,2939690.0,169800.0,28,2023,0.0219876925798298,0.0255690225840139,MS,1.8608469250662285,-1.8780886866696216,-1.773173458735335
Missouri,4440790.333333333,68545.0,38699.0,0.4608,6196156.0,233600.0,29,2023,0.0175742831523286,0.0479058306472593,MO,-0.12499106632982578,-0.6704993352939291,-1.4910042922190965
Montana,473108.1666666667,70804.0,40197.0,0.4601,1132812.0,392300.0,30,2023,0.0138663785341256,0.0217361751111393,MT,-1.389967177807458,-0.10458378377756797,-1.9414740134277215
Nebraska,1297978.5,74590.0,41436.0,0.4634,1978379.0,245200.0,31,2023,0.0143430556025918,0.0770029402859613,NE,-0.868517762244024,-0.019494641160686384,-1.6050037296875865
Nevada,14216007.0,76364.0,40463.0,0.4632,3194176.0,441100.0,32,2023,0.0232974012703119,0.1924687305896732,NV,0.471815914867993,-0.7403155732541639,1.5288121595551616
New Hampshire,644636.0,96838.0,51587.0,0.4446,1402054.0,415400.0,33,2023,0.0143724849399523,0.0676671511938912,NH,-2.821558076607818,0.5756472334698655,-0.04516460052157493
New Jersey,17292936.0,99781.0,52583.0,0.4794,9290841.0,461000.0,34,2023,0.0255786316868408,0.2422203759595068,NJ,0.6210076332498565,1.6604217550596587,3.027447268055047
New Mexico,2604961.0,62268.0,35510.0,0.4771,2114371.0,256300.0,35,2023,0.0225911157502633,0.1020147362974615,NM,1.2982899588370491,-1.3995382922577841,-0.40299857993808175
